season,round,fixture_id,kickoff_utc,home_id,away_id,home_score,away_score,teamsheet_status,model,p_away_31_plus,p_away_21_30,p_away_16_20,p_away_11_15,p_away_6_10,p_away_1_5,p_draw,p_home_1_5,p_home_6_10,p_home_11_15,p_home_16_20,p_home_21_30,p_home_31_plus,pick_winner,pick_margin,request_hash,model_version
202101,2,268108,2021-10-02T18:35:00+00:00,munster-rugby,dhl-stormers,34,18,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,2,268106,2021-10-03T13:00:00+00:00,dragons-rfc,leinster-rugby,6,7,ok,elo,0.026357,0.064562,0.059638,0.08123,0.101119,0.115048,0.023897,0.119279,0.111342,0.094991,0.074069,0.087168,0.041299,home,1,,
202101,2,268106,2021-10-03T13:00:00+00:00,dragons-rfc,leinster-rugby,6,7,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,2,268106,2021-10-03T13:00:00+00:00,dragons-rfc,leinster-rugby,6,7,ok,table_position,0.105602,0.130704,0.089248,0.100586,0.105663,0.103457,0.019801,0.091925,0.0771,0.060273,0.043918,0.048708,0.023016,away,6,,
202101,3,268109,2021-10-08T18:35:00+00:00,ulster-rugby,benetton-rugby,28,8,ok,elo,0.009193,0.030386,0.033322,0.051462,0.072639,0.09371,0.020969,0.112966,0.119565,0.115663,0.102262,0.143665,0.094199,home,10,,
202101,3,268109,2021-10-08T18:35:00+00:00,ulster-rugby,benetton-rugby,28,8,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,3,268109,2021-10-08T18:35:00+00:00,ulster-rugby,benetton-rugby,28,8,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,3,268110,2021-10-08T18:35:00+00:00,ospreys,hollywoodbets-sharks,13,27,ok,elo,0.004628,0.018105,0.021903,0.036394,0.055267,0.076708,0.017914,0.100952,0.114956,0.119641,0.113804,0.177553,0.142174,home,11,,
202101,3,268110,2021-10-08T18:35:00+00:00,ospreys,hollywoodbets-sharks,13,27,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,3,268110,2021-10-08T18:35:00+00:00,ospreys,hollywoodbets-sharks,13,27,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,3,268111,2021-10-09T12:00:00+00:00,leinster-rugby,zebre-parma,43,7,ok,elo,0.003335,0.014061,0.017774,0.030525,0.047911,0.068729,0.016361,0.094106,0.110757,0.119139,0.11713,0.191681,0.168494,home,15,,
202101,3,268111,2021-10-09T12:00:00+00:00,leinster-rugby,zebre-parma,43,7,ok,home_by_7,0.025322,0.050566,0.044572,0.0604,0.076504,0.090573,0.019452,0.101454,0.10353,0.09875,0.088041,0.130513,0.110323,home,6,,
202101,3,268111,2021-10-09T12:00:00+00:00,leinster-rugby,zebre-parma,43,7,ok,table_position,0.023016,0.048708,0.043918,0.060273,0.0771,0.091925,0.019801,0.103457,0.105663,0.100586,0.089248,0.130704,0.105602,home,6,,
202101,3,268112,2021-10-09T14:05:00+00:00,glasgow-warriors,10bet-lions,13,9,ok,elo,0.01363,0.040547,0.041843,0.06179,0.083396,0.102873,0.022419,0.11752,0.118936,0.110013,0.093004,0.122608,0.071422,home,5,,
